Código	Foto Evento	Evento	QR-code Fotos	Link Fotos	Promoção	Local	Endereço	Cidade	Estado	Data de Início	Data de Término	Ano	Responsável	Tipo de Apresentação	Tipo de Exposição	Link  1 de Reportagem	Link 2 de Reportagem	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado
E000		XIII Semana da Matemática		https://photos.app.goo.gl/ev9RYZ9Vvh5dgW6Z9	DMA-UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	27/08/2001	31/08/2001	2001	Armando Caputi	Exposição	Semana da Matemática - UEM	xxxx	xxxx	200	0	0	0	200	0						
E001		I Educação com Ciência		https://photos.app.goo.gl/reNfvCCQVx44orir5	SEED - PR	Parque de Exposições Francisco Feio Ribeiro	Avenida Colombo, 2.186, Vila Morangueira	Maringá	Paraná	38642	38646	2005	João Roberto Gerônimo	Exposição	Comunidade Externa	xxxx	xxxx	4020	0	4000	0	20	0	0					
E002		Matemativa na Usina de Conhecimento			DMA - UEM	Centro de Excelência em Atendimento à Comunidade (antiga Usina do Conhecimento)	Avenida Itororó, Zona 4	Maringá	Paraná	24/10/05	01/11/05	2005	Armando Caputi	Exposição	Comunidade Externa														
E003		Curso de Verão 2006 - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	16/01/06	20/01/06	2006	João Roberto Gerônimo	Minicurso	Eventos Acadêmicos														
E004		II Educação Com Ciência			SEED - PR	Parque de Exposições Francisco Feio Ribeiro	Avenida Colombo, 2.186, Vila Morangueira	Maringá	Paraná	29/05/06	02/06/06	2006	João Roberto Gerônimo	Oficina	Comunidade Externa														
E005		IV Fórum de Extensão - UEM			PEC - UEM	Universidade Estadual de Maringá, Museu Dinâmico Interdisciplinar, Bloco O33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	07/08/06	08/08/06	2006	João Roberto Gerônimo	Comunicação	Apresentação de Trabalho														
E006		XXIV SEURS			FURG - RS	Fundação Universidade do Rio Grande	Rua Luiz Lorea, 261	Rio Grande	Rio Grande do Sul	18/08/06	20/08/06	2006	João Roberto Gerônimo	Comunicação	Apresentação de Trabalho														
E007		Bienal da SBM			UFG - GO	Universidade Federal de Goiás - Câmpus Samambaia	Avenida Esperança, SN, Chácaras de Recreio Samambaia	Goiânia	Goiás	07/11/06	10/11/06	2006	João Roberto Gerônimo	Exposição	Eventos Acadêmicos														
E008		Bienal da SBM			UFG - GO	Universidade Federal de Goiás - Câmpus Samambaia	Avenida Esperança, SN, Chácaras de Recreio Samambaia	Goiânia	Goiás	07/11/06	10/11/06	2006	João Roberto Gerônimo	Oficina	Oficinas, Minicursos e Gincanas														
E009		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	27/11/06	01/12/06	2006	João Roberto Gerônimo	Exposição	Semana da Matemática - UEM														
E010		Obmep - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	02/12/06	02/12/06	2006	João Roberto Gerônimo	Exposição	Eventos Acadêmicos														
E011		Matemativa no Corredor - DMA - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	27/06/07	27/06/07	2007	João Roberto Gerônimo	Exposição	Mostra de Objetos														
E012		XI ERMAC			UFPR - Curitiba	Departamento de Matemática, UFPR, Centro Politécnico, 3º andar,  Edifício da Administração	Rua Coronel Francisco Heráclito dos Santos, 100, Jardim das Américas	Curitiba	Paraná	07/08/07	07/08/07	2007	João Roberto Gerônimo	Comunicação	Apresentação de Trabalho														
E013		Semana da Matemática - UEM			DMA - uEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	17/09/07	20/09/07	2007	João Roberto Gerônimo	Oficina	Semana da Matemática - UEM														
E014		EAIC E Educação Com Ciência			PPG - UEM	Universidade Estadual de Maringá, Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	28/09/07	28/09/07	2007	João Roberto Gerônimo	Exposição	Eventos Acadêmicos														
E015		Curso de Extensão - Simetrias no Plano - PDE			DMA-UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	19/11/07	20/11/07	2007	João Roberto Gerônimo	Oficina	Oficinas, Minicursos e Gincanas														
E016		III Educação Com Ciência			SEED - PR	Parque de Exposições Francisco Feio Ribeiro	Avenida Colombo, 2.186, Vila Morangueira	Maringá	Paraná	21/11/07	23/11/07	2007	João Roberto Gerônimo	Exposição	Comunidade Externa														
E017		Evento de Extensão - Matemática em Exposição			USF - SETI - PR	Escola Estadual Rui Barbosa Ensino de 1º Grau	Rua Doutor Clementino Schiavon Puppi, 602	Jandaia do Sul	Paraná	29/02/08	29/02/08	2008	João Roberto Gerônimo	Exposição	Escolas														
E018		UEM NOS BAIRROS			PEC - UEM	Praça Pública	Rua Roberto Domingos Martins, Jardim Cruzeiro	Umuarama	Paraná	17/05/08	17/05/08	2008	João Roberto Gerônimo	Exposição															
E019		XIV Encontro Regional de Estudantes de Matemática do Sul			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	22/05/08	23/05/08	2008	João Roberto Gerônimo	Exposição															
E020		XIV Encontro Regional de Estudantes de Matemática do Sul			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	22/05/08	23/05/08	2008	João Roberto Gerônimo	Oficina															
E021		Exposição Matemativa			UNESP - SJRP	Centro Integrado de Ciência e Cultura	Avenida João Batista Vetorazzo, 500, Distrito Industrial	São José do Rio Preto	São Paulo	01/06/08	30/08/08	2008	João Roberto Gerônimo	Comissão de Apoio															
E022		Treinamento para a IV Bienal da SBM			SBM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/08/08	28/09/08	2008	João Roberto Gerônimo	Minicurso															
E023		VI Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Estacionamento da Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	21/08/08	21/08/08	2008	Kleber Luciano Niro	Pôster															
E024		Bienal da SBM			SBM	Universidade Estadual de Maringá, Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	29/09/08	03/10/08	2008	João Roberto Gerônimo	Exposição															
E025		Feira de Ciências - Matemáquinas			Colégio Universitário	Colégio Universitário Maringá	Avenida Prudente de Morais, 735, Novo Centro	Maringá	Paraná	10/10/08	10/10/08	2008	Kleber Luciano Niro	Comissão de Apoio															
E026		Semana Acadêmica			UTFPR - Pato Branco	UTFPR - Campus de Pato Branco	Rodovia Via do Conhecimento, km1, Bairro Fraron	Pato Branco	Paraná	03/11/08	07/11/08	2008	João Roberto Gerônimo	Exposição															
E027		Semana Acadêmica			UTFPR - Pato Branco	UTFPR - Campus de Pato Branco	Rodovia Via do Conhecimento, km1, Bairro Fraron	Pato Branco	Paraná	03/11/08	07/11/08	2008	João Roberto Gerônimo	Oficina															
E028		Jornada Científica			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	14/11/08	14/11/08	2008	Kleber Luciano Niro	Comunicação															
E029		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/09/09	12/09/09	2009	João Roberto Gerônimo	Minicurso															
E030		UEM NOS BAIRROS			PEC - UEM	Praça dos Pioneiros	Rua Getúlio Vargas, Jardim Ouro Branco	Paranavaí	Paraná	04/10/09	04/10/09	2009	João Roberto Gerônimo	Exposição															
E031		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	13/10/09	16/10/09	2009	João Roberto Gerônimo	Exposição															
E032		Semana de Ciências e Matemática			UNESPAR - Campus de Paranavaí	UNESPAR - Campus de Paranavaí	 Avenida Gabriel Esperidião, SN	Paranavaí	Paraná	22/10/09	23/10/09	2009	João Roberto Gerônimo	Exposição															
E033		UEM NOS BAIRROS			PEC - UEM	Praça Valdemar Alves Nogueira	Avenida Dr. Gastão Vidigal, 668-790	Jussara	Paraná	06/12/09	06/12/09	2009	João Roberto Gerônimo	Exposição															
E034		Semana de Integração do CCE - UEM			CCE - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	25/02/10	26/02/10	2010	João Roberto Gerônimo	Exposição															
E035		Mostra de Profissões - UEM			PEN - UEM	Universidade Estadual de Maringá, Estacionamento da Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	30/03/10	30/03/10	2010	João Roberto Gerônimo	Mostra de Objetos															
E036		Evento de Extensão - MUDI			MUDI - UEM	Universidade Estadual de Maringá, Museu Dinâmico Interdisciplinar, Bloco O33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	15/05/10	15/05/10	2010	João Roberto Gerônimo	Minicurso															
E037		UEM NOS BAIRROS			PEC - UEM	Universidade Estadual de Maringá, Estacionamento da UEM, Bloco 002	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	23/05/10	23/05/10	2010	João Roberto Gerônimo	Exposição															
E038		UEM NOS BAIRROS			PEC - UEM	Praça Central	Praça Central	Umuarama	Paraná	27/06/10	27/06/10	2010	Júlio César Coelho	Exposição															
E039		Semana da Matemática - UEL			UEL	Universidade Estadual de Londrina, Departamento de Matemática	Rodovia Celso Garcia Cid, PR 445, Km 380, Campus Universitário	Londrina	Paraná	13/09/10	14/09/10	2010	João Roberto Gerônimo	Exposição															
E040		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	15/09/10	17/09/10	2010	João Roberto Gerônimo	Exposição															
E041		Semana da Matemática			UNESPAR - Campus de Paranavaí	UNESPAR - Campus de Paranavaí	Avenida Gabriel Esperidião, SN	Paranavaí	Paraná	19/11/10	19/11/10	2010	João Roberto Gerônimo	Exposição															
E042		Mostra de Profissões - UEM			PEN - UEM	Universidade Estadual de Maringá, Estacionamento da Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	06/04/11	07/04/11	2011	João Roberto Gerônimo	Mostra de Objetos															
